filename,ebird_code,labels_bg
XC554809.mp3,aldfly,
XC552408.mp3,aldfly,
XC544552.mp3,aldfly,
XC544551.mp3,aldfly,
XC544550.mp3,aldfly,
XC541883.mp3,aldfly,
XC541879.mp3,aldfly,
XC550421.mp3,aldfly,
XC509611.mp3,aldfly,
XC567932.mp3,aldfly,sonspa amerob
XC524851.mp3,aldfly,amerob reevir1
XC524515.mp3,aldfly,
XC524514.mp3,aldfly,
XC524513.mp3,aldfly,
XC477186.mp3,aldfly,grycat comyel
XC466987.mp3,aldfly,whtspa comyel canwar pinwar amered gockin veery swaspa herthr
XC433319.mp3,aldfly,linspa herthr whcspa daejun
XC433096.mp3,aldfly,comyel
XC428335.mp3,aldfly,comyel balori ovenbi1 comyel whtspa amegfi bawwar
XC428334.mp3,aldfly,norwat rewbla bawwar
XC483142.mp3,aldfly,comgra houwre warvir yehbla rewbla
XC477364.mp3,aldfly,
XC477348.mp3,aldfly,
XC476536.mp3,aldfly,
XC415380.mp3,aldfly,
XC371632.mp3,aldfly,
XC371063.mp3,aldfly,reevir1
XC356892.mp3,aldfly,
XC336362.mp3,aldfly,buggna blujay
XC330229.mp3,aldfly,amegfi sonspa amerob
XC321024.mp3,aldfly,houwre
XC313135.mp3,aldfly,
XC276781.mp3,aldfly,carwre normoc norcar balori comgra carwre buggna blujay eastow
XC253936.mp3,aldfly,indbun
XC252894.mp3,aldfly,
XC252876.mp3,aldfly,olsfly
XC247989.mp3,aldfly,rewbla
XC244589.mp3,aldfly,
XC244457.mp3,aldfly,
XC241644.mp3,aldfly,
XC232634.mp3,aldfly,blujay norcar
XC217120.mp3,aldfly,carwre grcfly
XC217118.mp3,aldfly,carwre blujay
XC217117.mp3,aldfly,norcar carwre
XC217115.mp3,aldfly,norcar dowwoo
XC217108.mp3,aldfly,blujay norcar dowwoo
XC217098.mp3,aldfly,norcar carwre blujay
XC217093.mp3,aldfly,norcar
XC216406.mp3,aldfly,blujay norcar
XC216290.mp3,aldfly,carwre norcar amerob rebwoo
XC216284.mp3,aldfly,norcar carwre amerob blujay
XC216277.mp3,aldfly,carwre
XC216253.mp3,aldfly,blujay amerob rebwoo
XC216242.mp3,aldfly,killde
XC216223.mp3,aldfly,blujay amerob
XC216222.mp3,aldfly,amerob norcar
XC216221.mp3,aldfly,carwre norcar
XC216219.mp3,aldfly,carwre
XC216216.mp3,aldfly,norcar carwre
XC216215.mp3,aldfly,carwre amerob dowwoo comgra
XC216214.mp3,aldfly,blujay norcar
XC216213.mp3,aldfly,blujay
XC216212.mp3,aldfly,norcar carwre blujay
XC216210.mp3,aldfly,
XC216208.mp3,aldfly,blujay
XC216207.mp3,aldfly,killde blujay
XC216196.mp3,aldfly,norcar dowwoo killde rthhum
XC216191.mp3,aldfly,norcar dowwoo
XC216188.mp3,aldfly,dowwoo norcar rthhum carwre amerob
XC216088.mp3,aldfly,norcar carwre
XC216083.mp3,aldfly,amerob carwre norcar
XC216068.mp3,aldfly,comgra carwre norcar indbun
